Date,price
2000-01-04,8756.5498046875
2000-01-05,8849.8701171875
2000-01-06,8922.0302734375
2000-01-07,8849.8701171875
2000-01-10,9102.599609375
2000-01-11,8927.0302734375
2000-01-12,9144.650390625
2000-01-13,9107.1904296875
2000-01-14,9023.240234375
2000-01-17,9315.4296875
2000-01-18,9250.1904296875
2000-01-19,9151.4404296875
2000-01-20,9136.9501953125
2000-01-21,9255.9404296875
2000-01-24,9387.0703125
2000-01-25,9372.3701171875
2000-01-26,9581.9599609375
2000-01-27,9628.98046875
2000-01-28,9696.91015625
2000-01-31,9744.8896484375
2000-02-01,9856.3896484375
2000-02-09,10008.8798828125
2000-02-10,10057.669921875
2000-02-11,10128.669921875
2000-02-14,9971.4501953125
2000-02-15,9957.740234375
2000-02-16,10064.490234375
2000-02-17,10202.2001953125
2000-02-18,10096.3798828125
2000-02-21,9912.669921875
2000-02-22,9731.9296875
2000-02-23,9642.259765625
2000-02-24,9599.169921875
2000-02-25,9432.490234375
2000-02-29,9435.9404296875
2000-03-01,9689.099609375
2000-03-02,9543.8203125
2000-03-03,9588.0302734375
2000-03-06,9367.91015625
2000-03-07,9380.0703125
2000-03-08,9389.490234375
2000-03-09,9587.26953125
2000-03-10,9429.599609375
2000-03-13,8811.9501953125
2000-03-14,8835.580078125
2000-03-15,8640.0302734375
2000-03-16,8682.759765625
2000-03-17,8763.26953125
2000-03-20,8536.0498046875
2000-03-21,9004.48046875
2000-03-22,9069.3896484375
2000-03-23,9533.8701171875
2000-03-24,9482.6396484375
2000-03-27,9807.5703125
2000-03-28,9856.599609375
2000-03-29,9805.6904296875
2000-03-30,9931.9404296875
2000-03-31,9854.9501953125
2000-04-03,10050.4296875
2000-04-05,10186.169921875
2000-04-06,9969.2802734375
2000-04-07,9921.0302734375
2000-04-10,10127.48046875
2000-04-11,10068.0498046875
2000-04-12,9911.3896484375
2000-04-13,9662.599609375
2000-04-14,9374.6103515625
2000-04-17,8993.6796875
2000-04-18,9307.0302734375
2000-04-19,9104.400390625
2000-04-20,9109.0498046875
2000-04-21,9120.48046875
2000-04-24,8808.08984375
2000-04-25,8921.1201171875
2000-04-26,8535.9599609375
2000-04-27,8541.9501953125
2000-04-28,8824.3603515625
2000-05-02,8638.75
2000-05-03,8420.0
2000-05-04,8425.3798828125
2000-05-05,8698.5302734375
2000-05-08,8616.1796875
2000-05-09,8635.83984375
2000-05-10,8559.8701171875
2000-05-11,8349.91015625
2000-05-12,8560.4404296875
2000-05-15,8465.01953125
2000-05-16,8727.8203125
